name,date,hours,comment,
fera,27-07-2018,16,"Initial setup, basic functionality, data processing",
mast,27-07-2018,16,"Concept/Design work, component styling",
mast,29-07-2018,3,"info panel style",
fera,17-08-2018,2,"exported json styles to external files, some code cleanup",
fera,19-08-2018,2,"tested agm-info-window, tested Chart.js library",
fera,20-08-2018,2,"tested kml url call over dropbox link -> FAIL",
mast,20-08-2018,2,"tested kml url call over dropbox link -> FAIL",
fera,21-08-2018,6,"road data processing",
mast,21-08-2018,6,"scenario button animation",
fera,22-08-2018,3,"Implemented/Tested agm-circle for solarstations and healthsites",
fera,23-08-2018,4,"data sanitizing/integrated solar stations/implemented color enum",
mast,23-08-2018,4,"poweplant functionality,circle functionality,updated clickables, implemented images for info window",
