task,priority,progress,comment,
investigate circle radius behaviour,M,TODO,,
Investigate api data queries (for education data etc),H,IP,"https://google-developers.appspot.com/maps/documentation/javascript/examples/place-search",
Set zoom factor related to display resolution,H,TODO,,
Modify chart display functionality,M,DONE,,
Change MapStyle in code (Road display),M,TODO,,
Implement chart for comparing multiple map objects,M,TODO,,
Creating Intro panel/tooltipps on start up,H,IP,,
Szenario buttons with dynamic zoom,H,IP,Smoothness,
Data processing/sanitizing/searching,H,IP,"Get Education Data / Schools, email Ghana ministry of education",
Implement displaying graphics,L,DONE,,
Implement basic functionality for map,H,DONE,,
Basic Layout/Design for displaying data,H,DONE,,
Investigate chart libraries,M,DONE,,
Styling info property tags from json on map components,H,DONE,"Using AGM-Info-Window, alternative -> custom popups",
"Investigating .geojson for road only including unclassidied,primary,secondary,tertiary",H,DONE,,
Port data layer styles(markers) to json files,H,DONE,,
Add toogle functionality for buttons,H,DONE,,
Investigate data layer style options (in API),H,DONE,"https://developers.google.com/maps/documentation/javascript/datalayer#style_options",
Investigate https://data.humdata.org/dataset/hotosm_gha_roads,M,DONE,Will not include .kml data,
Investiagte polygon overlay to set different style for rest of world map,L,DONE,Polygon overlay implemented,
Dynamically change radius for points dependent on zoom,H,DONE,,
Integrate Solar Station Data into Power Plant geoJSON,M,DONE,,
Implemenet consistent color scheme using enum,M,DONE,,

